Name,Location,Description,Address,Telephone Number,Price,Cuisine Type,Dining Atmosphere,Sky-High Rooftop,Michelin-Guide,Customer Ratings,Operation Hours,Reservations,Dress Code,restaurant_metadata
Somni,West Hollywood,A 14-seat Spanish Modernist chef's counter offering a 20+ course tasting menu led by Chef Aitor Zabala with one seating per night.,"9045 Nemo St, West Hollywood, CA 90069",Number Not Listed,$$$$$,Spanish Modernist,Fine-Dining,No,3-Star,5.0,Wed-Sun 7:30pm (one seating),Reservation Only,No,"Somni is a Spanish Modernist restaurant located in West Hollywood, Los Angeles. A 14-seat Spanish Modernist chef's counter offering a 20+ course tasting menu led by Chef Aitor Zabala with one seating per night. Price range: $$$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 3-Star. Customer Rating: 5.0/5."
Providence,Hollywood,A celebrated seafood-forward fine dining institution from Chef Michael Cimarusti with nearly 20 years of Michelin recognition and a focus on West Coast ingredients.,"5955 Melrose Ave, Los Angeles, CA 90038",(323) 460-4170,$$$$,Seafood / Contemporary,Fine-Dining,No,3-Star,5.0,Tue-Thu 6pm-9pm / Fri-Sat 5:30pm-9:30pm,Reservation Only,No,"Providence is a Seafood / Contemporary restaurant located in Hollywood, Los Angeles. A celebrated seafood-forward fine dining institution from Chef Michael Cimarusti with nearly 20 years of Michelin recognition and a focus on West Coast ingredients. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 3-Star. Customer Rating: 5.0/5."
Hayato,Downtown Arts District,A 7-seat intimate kaiseki restaurant from Chef Brandon Go serving traditional Japanese multi-course dinners with handcrafted ceramics imported from Japan.,"1320 E 7th St Suite 126, Los Angeles, CA 90021",(213) 395-0607,$$$$,Japanese Kaiseki,Fine-Dining,No,2-Star,5.0,Tue-Sat (one seating nightly),Reservation Only,No,"Hayato is a Japanese Kaiseki restaurant located in Downtown Arts District, Los Angeles. A 7-seat intimate kaiseki restaurant from Chef Brandon Go serving traditional Japanese multi-course dinners with handcrafted ceramics imported from Japan. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 2-Star. Customer Rating: 5.0/5."
n/naka,Palms,A serene 13-course modern kaiseki restaurant from Netflix Chef's Table star Niki Nakayama blending Japanese and Californian cuisine with a strictly enforced business casual dress code.,"3455 Overland Ave, Los Angeles, CA 90034",(310) 836-6252,$$$$,Japanese Kaiseki,Fine-Dining,No,2-Star,5.0,Wed-Sun 5:30pm-9pm,Reservation Only,Strict,"n/naka is a Japanese Kaiseki restaurant located in Palms, Los Angeles. A serene 13-course modern kaiseki restaurant from Netflix Chef's Table star Niki Nakayama blending Japanese and Californian cuisine with a strictly enforced business casual dress code. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 2-Star. Customer Rating: 5.0/5."
Melisse,Santa Monica,A hidden 14-seat fine dining alcove within sister restaurant Citrin offering a luxurious and frequently changing seasonal tasting menu from Chef Josiah Citrin.,"1104 Wilshire Blvd, Santa Monica, CA 90401",(310) 395-0881,$$$$,French / Contemporary American,Fine-Dining,No,2-Star,4.0,Tue-Sat (dinner only),Reservation Only,Yes,"Melisse is a French / Contemporary American restaurant located in Santa Monica, Los Angeles. A hidden 14-seat fine dining alcove within sister restaurant Citrin offering a luxurious and frequently changing seasonal tasting menu from Chef Josiah Citrin. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 2-Star. Customer Rating: 4.0/5."
Vespertine,Culver City,An avant-garde two-Michelin-star dining experience from Chef Jordan Kahn set inside a wavy obelisk architectural marvel with a sci-fi dreamscape atmosphere.,"3599 Hayden Ave, Culver City, CA 90232",(323) 320-4023,$$$$,Contemporary American / Innovative,Fine-Dining,No,2-Star,5.0,Wed-Sun (one seating nightly),Reservation Only,No,"Vespertine is a Contemporary American / Innovative restaurant located in Culver City, Los Angeles. An avant-garde two-Michelin-star dining experience from Chef Jordan Kahn set inside a wavy obelisk architectural marvel with a sci-fi dreamscape atmosphere. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 2-Star. Customer Rating: 5.0/5."
Sushi Kaneyoshi,Little Tokyo,A highly exclusive omakase sushi experience tucked in Little Tokyo offering pristine seasonal fish in an intimate counter setting.,"250 1st St B1, Los Angeles, CA 90012",(213) 277-2388,$$$$,Japanese / Sushi,Fine-Dining,No,1-Star,5.0,Tue-Sat (dinner seatings),Reservation Only,No,"Sushi Kaneyoshi is a Japanese / Sushi restaurant located in Little Tokyo, Los Angeles. A highly exclusive omakase sushi experience tucked in Little Tokyo offering pristine seasonal fish in an intimate counter setting. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
Restaurant Ki,Little Tokyo,A 10-seat subterranean Korean contemporary tasting menu hidden in a hard-to-find backroom offering an intimate and innovative dining experience.,"111 San Pedro St, Los Angeles, CA 90012",(213) 786-3154,$$$$,Korean Contemporary,Fine-Dining,No,1-Star,5.0,Wed-Sun (dinner only),Reservation Only,No,"Restaurant Ki is a Korean Contemporary restaurant located in Little Tokyo, Los Angeles. A 10-seat subterranean Korean contemporary tasting menu hidden in a hard-to-find backroom offering an intimate and innovative dining experience. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
715 Sushi,Downtown Los Angeles,A minimalist omakase sushi counter in the Arts District offering a chef's choice multi-course menu with rustic Japanese interior design.,"738 E 3rd St, Los Angeles, CA 90013",(213) 547-0459,$$$$,Japanese / Sushi,Fine-Dining,No,1-Star,5.0,Tue-Sat (dinner only),Reservation Only,No,"715 Sushi is a Japanese / Sushi restaurant located in Downtown Los Angeles, Los Angeles. A minimalist omakase sushi counter in the Arts District offering a chef's choice multi-course menu with rustic Japanese interior design. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 5.0/5."
Orsa & Winston,Downtown Los Angeles,An intimate fine dining restaurant offering a creative contemporary tasting menu with Italian and Japanese influences.,"122 W 4th St, Los Angeles, CA 90013",(213) 687-0300,$$$$,Contemporary,Fine-Dining,No,1-Star,4.8,Tue-Sat (dinner only),Reservation Only,No,"Orsa & Winston is a Contemporary restaurant located in Downtown Los Angeles, Los Angeles. An intimate fine dining restaurant offering a creative contemporary tasting menu with Italian and Japanese influences. Price range: $$$$. Atmosphere: Fine-Dining. Michelin Guide: Michelin 1-Star. Customer Rating: 4.8/5."
